LapNumber,Compound,TyreLife,LapTimeSeconds
59,MEDIUM,34,77.188
70,HARD,45,76.576
70,MEDIUM,21,75.891
4,MEDIUM,48,79.67
51,HARD,6,73.739
75,MEDIUM,2,72.621
26,SOFT,6,73.275
19,MEDIUM,4,73.13
14,HARD,1,72.798
11,MEDIUM,37,77.633
6,HARD,33,75.59
5,MEDIUM,10,73.941
73,SOFT,37,81.014
75,SOFT,9,74.91
49,HARD,30,75.36
50,SOFT,44,83.029
76,SOFT,34,80.23
1,HARD,35,75.722
11,SOFT,8,73.924
14,SOFT,37,80.87
26,SOFT,5,73.027
42,MEDIUM,4,73.483
14,HARD,40,75.986
23,HARD,38,76.607
66,SOFT,33,79.593
51,MEDIUM,40,77.805
51,HARD,7,74.198
29,MEDIUM,15,75.041
29,HARD,36,75.874
27,MEDIUM,33,77.644
38,HARD,10,74.006
47,SOFT,31,79.776
47,SOFT,29,78.738
27,SOFT,2,72.634
27,MEDIUM,43,79.09
11,SOFT,20,76.278
23,MEDIUM,8,73.607
46,HARD,26,75.419
60,MEDIUM,18,75.27
68,HARD,12,74.636
51,HARD,9,74.117
40,SOFT,14,74.991
36,MEDIUM,46,79.212
57,MEDIUM,23,75.542
15,HARD,40,75.786
73,SOFT,47,83.703
41,SOFT,26,78.252
75,HARD,25,75.322
17,HARD,34,75.861
51,HARD,44,76.896
33,MEDIUM,24,75.41
63,SOFT,29,78.727
49,MEDIUM,21,75.338
49,HARD,17,74.835
49,HARD,40,76.441
13,HARD,1,72.625
30,HARD,32,74.982
45,SOFT,49,84.61
1,HARD,18,74.078
66,MEDIUM,47,79.299
51,MEDIUM,38,79.01
1,HARD,4,72.981
10,HARD,32,75.329
34,MEDIUM,19,75.034
8,MEDIUM,7,73.232
59,SOFT,3,73.469
67,SOFT,47,83.939
8,HARD,33,75.391
46,MEDIUM,32,77.075
68,HARD,16,74.07
74,MEDIUM,7,73.511
23,HARD,33,75.682
1,MEDIUM,2,72.791
20,HARD,5,73.677
12,HARD,23,74.525
38,SOFT,37,80.719
24,SOFT,44,83.085
30,SOFT,10,74.358
14,SOFT,17,75.593
66,SOFT,40,81.54
4,MEDIUM,22,75.564
37,MEDIUM,29,76.713
17,MEDIUM,34,76.973
76,SOFT,25,78.157
10,SOFT,7,73.507
26,SOFT,17,76.12
54,MEDIUM,2,72.805
51,HARD,1,73.382
11,SOFT,21,76.492
59,HARD,36,76.296
24,MEDIUM,47,78.897
69,MEDIUM,22,75.334
62,HARD,20,74.803
73,HARD,45,76.914
17,SOFT,40,81.625
61,SOFT,25,77.772
3,HARD,35,76.135
44,MEDIUM,37,77.864
61,HARD,49,77.085
57,SOFT,10,73.886
8,MEDIUM,16,74.436
70,HARD,21,75.389
26,SOFT,45,83.313
10,HARD,32,75.02
7,HARD,14,74.719
72,SOFT,48,84.555
18,HARD,35,75.687
17,HARD,42,75.924
3,SOFT,34,80.251
40,SOFT,43,81.936
4,HARD,15,73.604
25,SOFT,22,76.963
66,SOFT,42,83.006
42,HARD,35,75.772
46,HARD,39,75.922
62,SOFT,49,85.11
30,HARD,10,73.712
5,SOFT,39,80.625
18,MEDIUM,4,72.84
25,MEDIUM,37,77.942
15,HARD,9,73.552
68,SOFT,24,78.059
11,MEDIUM,24,75.628
25,MEDIUM,13,74.187
74,SOFT,45,83.405
57,HARD,34,75.752
5,HARD,6,73.161
49,SOFT,47,84.5
35,SOFT,42,82.385
62,MEDIUM,18,75.893
73,SOFT,47,83.742
11,MEDIUM,37,77.583
67,SOFT,9,74.305
76,SOFT,34,80.39
11,SOFT,5,72.708
38,HARD,34,76.052
70,MEDIUM,18,75.001
77,SOFT,48,84.529
40,HARD,40,76.327
33,HARD,13,74.141
41,SOFT,48,84.06
45,SOFT,43,82.92
38,HARD,27,75.558
45,HARD,5,73.525
39,HARD,30,75.505
2,HARD,18,74.213
13,HARD,2,73.488
17,MEDIUM,27,76.105
70,SOFT,35,80.364
71,HARD,30,75.878
60,HARD,28,75.479
37,HARD,30,75.311
12,HARD,17,74.265
10,MEDIUM,17,74.454
50,HARD,18,74.576
29,MEDIUM,47,80.07
7,SOFT,12,74.129
33,SOFT,11,74.285
58,HARD,11,73.509
46,HARD,26,75.393
39,HARD,13,74.103
29,HARD,29,75.549
22,HARD,14,73.909
67,HARD,27,75.634
6,SOFT,20,76.242
3,HARD,5,72.904
34,MEDIUM,15,74.218
64,SOFT,35,80.701
27,MEDIUM,15,74.721
17,MEDIUM,25,76.378
64,HARD,3,72.84
60,SOFT,24,78.192
48,SOFT,38,81.707
2,SOFT,22,76.545
72,SOFT,17,76.365
64,SOFT,18,76.344
11,MEDIUM,32,76.886
33,SOFT,25,78.018
76,SOFT,17,76.353
32,SOFT,46,83.328
40,SOFT,10,74.031
2,MEDIUM,33,77.298
77,MEDIUM,33,77.618
66,MEDIUM,22,76.113
49,MEDIUM,44,79.293
6,HARD,3,73.63
41,HARD,32,76.058
8,MEDIUM,12,73.984
7,MEDIUM,47,79.444
4,HARD,20,74.781
41,HARD,3,73.539
75,MEDIUM,14,74.952
45,SOFT,25,78.303
55,HARD,19,75.207
51,SOFT,32,79.623
18,MEDIUM,6,72.805
28,SOFT,3,72.809
61,MEDIUM,35,77.699
31,MEDIUM,21,74.909
20,MEDIUM,24,76.18
60,MEDIUM,20,75.723
51,MEDIUM,49,79.506
66,SOFT,34,80.931
36,HARD,34,75.281
3,HARD,12,73.582
40,SOFT,18,75.907
42,MEDIUM,8,73.848
2,MEDIUM,14,74.27
62,SOFT,41,82.098
14,MEDIUM,47,78.673
70,MEDIUM,39,78.554
28,SOFT,25,77.939
40,HARD,1,72.876
47,SOFT,23,77.475
74,MEDIUM,14,74.659
76,SOFT,10,74.356
1,HARD,12,74.108
28,SOFT,20,76.352
56,SOFT,44,83.589
6,HARD,15,73.928
2,MEDIUM,14,74.114
20,SOFT,37,80.808
59,HARD,6,73.616
51,SOFT,33,80.222
43,HARD,47,77.062
44,MEDIUM,23,75.489
52,MEDIUM,45,79.343
8,MEDIUM,42,78.285
47,SOFT,47,84.308
55,MEDIUM,1,72.815
17,MEDIUM,18,74.921
47,MEDIUM,8,73.566
68,SOFT,46,83.641
19,SOFT,1,72.184
66,MEDIUM,28,77.278
63,MEDIUM,6,73.539
77,SOFT,9,74.308
75,HARD,41,76.61
19,MEDIUM,4,73.227
13,MEDIUM,34,77.146
54,HARD,1,73.775
15,HARD,25,75.263
19,HARD,21,75.051
33,SOFT,25,77.545
11,MEDIUM,26,75.595
74,HARD,8,74.026
72,SOFT,26,78.788
28,MEDIUM,6,72.861
44,SOFT,15,74.867
48,HARD,43,77.13
21,HARD,43,76.524
47,HARD,43,76.278
19,SOFT,13,75.143
68,MEDIUM,14,74.439
28,HARD,29,74.995
16,HARD,8,73.638
77,MEDIUM,49,80.039
75,MEDIUM,25,76.192
42,HARD,49,77.284
56,SOFT,42,82.406
44,HARD,1,73.448
47,SOFT,42,82.377
9,MEDIUM,21,75.397
15,MEDIUM,9,73.161
72,SOFT,42,83.065
37,SOFT,26,78.343
18,HARD,10,73.451
74,HARD,36,76.911
33,HARD,49,76.687
22,HARD,21,74.612
11,HARD,32,75.359
77,MEDIUM,9,74.051
7,MEDIUM,35,78.118
67,SOFT,18,75.709
75,SOFT,49,83.932
60,HARD,24,75.258
32,MEDIUM,42,79.025
36,HARD,45,76.549
41,HARD,6,73.311
13,HARD,4,73.02
27,SOFT,44,82.744
72,SOFT,8,74.077
70,SOFT,3,73.421
44,MEDIUM,23,76.017
30,MEDIUM,23,76.28
58,MEDIUM,44,78.902
55,MEDIUM,30,77.14
12,SOFT,16,75.339
23,MEDIUM,45,79.199
5,HARD,40,76.296
21,SOFT,30,79.151
72,MEDIUM,22,75.727
14,MEDIUM,34,77.351
66,SOFT,23,77.036
65,SOFT,9,73.756
52,HARD,3,73.546
35,MEDIUM,6,73.305
15,MEDIUM,43,78.716
30,HARD,30,75.359
67,MEDIUM,6,73.39
21,SOFT,15,75.474
2,HARD,2,73.231
54,MEDIUM,25,76.222
14,SOFT,36,80.292
6,HARD,41,76.411
8,SOFT,13,74.881
45,HARD,4,72.487
20,SOFT,31,78.892
43,MEDIUM,32,77.12
60,MEDIUM,2,72.608
34,SOFT,19,75.781
2,MEDIUM,25,76.262
73,HARD,15,74.511
9,HARD,19,74.154
4,SOFT,4,72.392
17,HARD,40,75.912
38,SOFT,36,80.429
63,HARD,37,75.831
14,HARD,27,74.948
5,HARD,37,75.769
21,HARD,21,74.538
58,MEDIUM,23,76.058
53,SOFT,21,76.537
45,MEDIUM,37,77.927
63,SOFT,11,74.433
68,SOFT,26,78.153
52,MEDIUM,40,78.666
42,SOFT,38,81.295
9,SOFT,17,75.625
2,SOFT,1,71.317
21,MEDIUM,40,78.13
8,HARD,34,75.63
60,HARD,17,74.831
45,HARD,24,75.159
8,SOFT,23,76.83
43,SOFT,8,74.034
17,HARD,24,74.97
21,SOFT,20,76.161
7,HARD,15,73.332
51,HARD,28,75.748
8,MEDIUM,38,78.043
66,SOFT,9,73.863
62,SOFT,41,81.921
21,HARD,10,73.727
53,MEDIUM,13,74.12
32,HARD,16,73.968
17,MEDIUM,15,74.543
25,MEDIUM,9,73.92
22,MEDIUM,25,75.291
44,MEDIUM,20,75.431
32,SOFT,35,80.275
12,MEDIUM,39,77.969
8,SOFT,21,76.62
7,MEDIUM,40,78.477
29,SOFT,22,76.712
2,SOFT,18,75.87
23,HARD,31,75.22
43,SOFT,22,77.304
23,HARD,19,74.705
39,SOFT,30,79.367
8,SOFT,47,83.483
72,MEDIUM,16,75.264
64,SOFT,4,72.685
10,MEDIUM,34,77.439
66,HARD,27,75.606
13,SOFT,48,84.236
58,MEDIUM,26,77.155
14,MEDIUM,12,74.236
70,HARD,16,74.833
58,HARD,37,75.956
26,MEDIUM,24,75.184
54,SOFT,38,80.847
20,SOFT,45,83.335
4,SOFT,7,73.702
58,SOFT,16,75.737
24,HARD,4,73.643
49,HARD,19,74.836
22,HARD,46,77.021
31,MEDIUM,38,78.266
45,HARD,48,76.934
18,HARD,33,75.277
47,HARD,49,76.863
15,HARD,27,75.579
75,MEDIUM,47,79.923
77,MEDIUM,3,72.857
70,HARD,49,76.785
42,SOFT,19,76.365
26,HARD,46,76.886
70,MEDIUM,5,73.32
39,MEDIUM,4,72.237
70,SOFT,36,80.847
60,SOFT,46,83.474
30,SOFT,36,80.276
7,MEDIUM,30,76.674
16,MEDIUM,16,74.502
77,MEDIUM,31,77.065
57,HARD,20,74.655
50,SOFT,4,72.322
32,HARD,15,73.905
15,HARD,20,74.386
14,MEDIUM,44,79.125
58,SOFT,37,80.816
12,SOFT,19,76.258
33,SOFT,41,81.825
33,MEDIUM,7,73.291
61,SOFT,24,77.561
39,HARD,41,75.976
17,MEDIUM,49,79.301
74,MEDIUM,1,73.148
2,SOFT,5,72.355
16,MEDIUM,34,77.454
76,HARD,39,76.524
64,HARD,10,73.875
64,HARD,49,77.559
15,MEDIUM,4,72.797
14,SOFT,15,75.033
26,MEDIUM,28,75.945
25,SOFT,2,72.122
6,SOFT,42,81.803
50,HARD,23,74.943
74,HARD,12,74.059
72,SOFT,36,80.777
42,MEDIUM,40,78.804
2,MEDIUM,12,74.142
40,HARD,27,75.095
1,MEDIUM,33,76.954
4,HARD,37,75.673
19,MEDIUM,6,73.263
1,MEDIUM,16,74.52
21,HARD,45,76.326
59,MEDIUM,31,77.489
69,HARD,27,75.811
34,SOFT,20,77.273
61,MEDIUM,5,73.03
60,MEDIUM,6,73.231
66,SOFT,11,74.538
3,SOFT,24,77.636
21,MEDIUM,26,75.892
51,MEDIUM,41,79.146
58,HARD,18,74.309
69,MEDIUM,17,75.739
15,HARD,30,75.122
28,HARD,40,76.309
70,HARD,39,76.349
63,HARD,23,75.242
58,HARD,4,73.027
57,HARD,21,74.916
14,SOFT,46,83.129
77,SOFT,35,80.775
6,HARD,18,74.438
46,HARD,34,76.421
72,MEDIUM,14,74.661
25,HARD,14,73.777
22,MEDIUM,26,75.949
42,HARD,3,73.633
28,HARD,9,73.45
47,HARD,19,74.968
53,MEDIUM,38,77.914
64,MEDIUM,9,74.001
14,SOFT,25,77.103
41,HARD,14,74.443
8,HARD,4,73.1
55,MEDIUM,41,78.924
48,SOFT,49,84.334
21,MEDIUM,21,75.19
20,SOFT,48,83.782
61,SOFT,9,73.625
35,SOFT,4,72.927
76,HARD,40,77.41
46,MEDIUM,12,74.398
22,MEDIUM,29,76.946
20,SOFT,38,81.207
28,HARD,7,73.944
45,MEDIUM,12,74.174
72,SOFT,1,71.832
6,HARD,38,75.903
65,HARD,8,73.813
40,SOFT,29,78.06
61,SOFT,13,74.585
46,MEDIUM,49,79.789
49,HARD,21,75.047
54,MEDIUM,42,78.792
41,SOFT,49,84.454
21,SOFT,24,77.419
13,SOFT,39,80.599
19,HARD,46,76.904
40,SOFT,1,72.074
72,HARD,12,74.386
33,SOFT,48,84.057
69,SOFT,26,78.322
66,MEDIUM,18,75.07
36,MEDIUM,33,76.996
76,SOFT,33,80.055
41,MEDIUM,15,74.676
66,SOFT,10,74.487
77,HARD,11,74.333
70,HARD,20,75.132
38,HARD,2,73.472
65,HARD,43,77.054
62,HARD,45,76.343
38,HARD,24,75.185
18,SOFT,43,82.163
30,SOFT,38,81.063
67,MEDIUM,32,78.013
75,SOFT,23,77.156
33,MEDIUM,36,78.129
68,SOFT,7,74.602
65,SOFT,1,72.254
35,MEDIUM,18,75.136
11,HARD,47,77.035
34,SOFT,8,73.279
31,MEDIUM,1,72.396
59,SOFT,30,79.353
45,HARD,11,73.884
64,MEDIUM,43,79.05
51,HARD,42,76.037
42,SOFT,37,80.833
6,SOFT,35,80.468
77,SOFT,29,79.222
17,HARD,47,76.279
49,SOFT,37,80.658
53,SOFT,34,80.161
32,MEDIUM,34,77.755
46,SOFT,49,83.958
68,HARD,39,76.677
63,HARD,1,73.383
11,HARD,34,75.238
24,HARD,17,73.934
28,SOFT,8,73.735
36,SOFT,17,76.278
47,MEDIUM,45,79.744
11,MEDIUM,21,75.046
12,SOFT,46,83.195
19,MEDIUM,17,74.462
75,MEDIUM,36,78.054
23,SOFT,24,77.476
51,SOFT,17,75.173
51,SOFT,14,75.633
35,HARD,45,77.224
72,HARD,9,74.025
72,SOFT,33,80.455
67,HARD,38,76.537
22,MEDIUM,31,75.959
43,SOFT,22,77.087
76,MEDIUM,21,76.094
24,MEDIUM,41,78.501
35,MEDIUM,47,80.029
26,HARD,8,73.481
65,HARD,3,73.849
1,SOFT,37,80.666
63,HARD,2,73.548
34,HARD,9,73.73
75,MEDIUM,31,77.041
3,HARD,8,73.786
61,MEDIUM,45,79.952
16,HARD,38,75.736
16,MEDIUM,42,78.637
66,MEDIUM,2,73.344
39,HARD,34,76.165
55,HARD,8,73.79
65,SOFT,39,81.854
30,SOFT,41,81.947
57,SOFT,19,76.517
31,SOFT,22,76.97
10,MEDIUM,10,73.98
32,MEDIUM,20,74.515
22,MEDIUM,24,76.321
77,MEDIUM,4,73.47
34,HARD,31,75.632
75,MEDIUM,34,77.534
26,SOFT,31,78.761
38,MEDIUM,32,77.18
69,SOFT,6,73.726
28,SOFT,29,78.637
27,HARD,9,73.49
68,MEDIUM,44,79.358
49,SOFT,19,76.428
56,MEDIUM,48,79.827
55,SOFT,27,79.016
23,MEDIUM,47,79.581
24,SOFT,33,79.623
68,HARD,17,74.338
12,SOFT,20,76.638
17,SOFT,42,82.223
47,SOFT,35,80.407
71,MEDIUM,14,74.588
31,SOFT,36,81.019
9,MEDIUM,16,74.401
45,MEDIUM,33,77.966
9,SOFT,34,79.988
28,MEDIUM,3,72.607
44,MEDIUM,44,79.551
21,MEDIUM,1,72.33
13,HARD,35,75.148
46,SOFT,10,74.23
24,SOFT,37,80.947
35,MEDIUM,10,74.123
17,SOFT,3,72.285
25,SOFT,43,82.573
65,MEDIUM,26,76.74
58,HARD,17,74.358
59,HARD,42,76.185
7,SOFT,6,72.554
33,SOFT,25,77.483
16,SOFT,12,74.642
77,HARD,36,76.469
59,SOFT,22,77.395
29,HARD,29,75.268
44,HARD,23,74.44
9,MEDIUM,4,72.915
15,MEDIUM,11,73.379
17,MEDIUM,41,78.183
25,MEDIUM,26,75.924
11,MEDIUM,45,78.994
28,HARD,31,75.569
65,HARD,43,76.97
31,MEDIUM,47,79.408
26,SOFT,46,83.034
50,MEDIUM,33,78.002
15,MEDIUM,27,76.311
6,MEDIUM,5,72.923
62,MEDIUM,22,76.461
3,SOFT,31,78.47
8,MEDIUM,6,73.252
16,MEDIUM,41,78.485
56,HARD,48,76.672
19,SOFT,18,76.024
26,HARD,38,75.785
43,SOFT,43,82.979
66,SOFT,16,75.749
65,MEDIUM,8,73.966
59,HARD,39,76.473
36,SOFT,10,74.43
28,SOFT,28,78.65
66,MEDIUM,40,78.231
48,HARD,8,73.771
67,SOFT,29,78.769
10,SOFT,45,83.925
67,HARD,49,76.891
35,SOFT,30,79.009
17,MEDIUM,14,74.091
53,MEDIUM,45,79.737
58,MEDIUM,1,72.481
20,MEDIUM,45,79.064
5,HARD,41,75.837
17,MEDIUM,1,72.659
68,SOFT,29,78.78
56,SOFT,11,74.673
60,MEDIUM,19,76.141
71,HARD,47,77.087
23,MEDIUM,4,73.301
15,MEDIUM,20,74.71
19,SOFT,48,83.857
28,HARD,46,76.334
37,MEDIUM,15,75.009
24,SOFT,3,72.688
67,MEDIUM,4,73.546
53,MEDIUM,49,79.819
53,SOFT,31,78.938
57,MEDIUM,41,78.507
57,MEDIUM,37,78.1
7,MEDIUM,40,78.438
68,MEDIUM,47,79.727
41,MEDIUM,36,77.698
62,MEDIUM,30,77.347
27,SOFT,25,77.504
39,HARD,47,76.813
54,MEDIUM,21,76.116
42,HARD,31,75.861
59,MEDIUM,32,77.331
10,SOFT,11,73.615
68,MEDIUM,17,75.17
65,HARD,21,75.09
51,HARD,25,75.331
15,MEDIUM,40,78.149
1,HARD,6,73.17
73,MEDIUM,41,79.112
6,SOFT,6,72.669
76,SOFT,49,84.669
55,HARD,45,76.311
32,MEDIUM,15,74.702
43,MEDIUM,49,79.455
6,HARD,29,75.008
49,SOFT,33,79.231
6,SOFT,27,78.434
64,SOFT,48,84.279
68,SOFT,20,76.677
22,HARD,2,73.495
56,HARD,14,74.514
16,HARD,3,73.208
12,SOFT,49,84.051
5,MEDIUM,11,74.152
57,SOFT,5,72.678
59,MEDIUM,5,73.19
69,SOFT,19,76.46
47,HARD,2,73.426
14,MEDIUM,7,73.289
54,HARD,19,74.825
62,SOFT,8,73.808
17,SOFT,10,73.996
69,MEDIUM,41,78.516
41,MEDIUM,26,76.261
10,HARD,3,72.719
35,MEDIUM,25,75.757
22,MEDIUM,38,77.638
55,MEDIUM,43,78.986
19,MEDIUM,20,75.224
66,HARD,47,77.499
59,MEDIUM,41,79.022
29,HARD,2,73.879
51,HARD,22,74.616
30,SOFT,22,76.7
68,SOFT,45,83.849
9,HARD,49,77.038
46,SOFT,45,83.146
32,MEDIUM,32,77.269
54,MEDIUM,27,76.151
25,MEDIUM,35,77.006
27,SOFT,9,73.678
17,MEDIUM,19,75.596
40,MEDIUM,20,75.498
23,HARD,49,76.956
43,MEDIUM,5,73.191
75,MEDIUM,40,79.196
75,MEDIUM,33,77.484
48,MEDIUM,30,77.125
36,HARD,19,74.454
46,HARD,13,74.273
8,HARD,27,74.221
73,HARD,46,77.288
60,HARD,49,77.098
9,SOFT,37,80.975
40,HARD,38,76.072
37,MEDIUM,43,78.748
11,HARD,22,75.009
4,MEDIUM,13,73.549
68,HARD,24,75.693
55,HARD,1,73.591
29,SOFT,48,83.825
74,SOFT,49,84.759
68,HARD,35,76.275
68,SOFT,1,72.293
25,MEDIUM,23,75.89
25,SOFT,24,77.272
5,HARD,32,75.526
49,MEDIUM,42,79.012
61,SOFT,49,84.415
35,SOFT,6,73.276
76,SOFT,42,81.925
67,HARD,16,74.506
37,SOFT,29,78.78
32,HARD,13,73.75
17,HARD,45,76.794
66,HARD,40,76.963
33,MEDIUM,22,75.621
32,MEDIUM,17,74.754
36,MEDIUM,47,79.647
28,MEDIUM,9,73.416
15,HARD,19,74.233
24,MEDIUM,28,76.704
62,HARD,33,76.521
67,SOFT,19,76.84
50,SOFT,29,79.212
1,MEDIUM,13,74.189
49,SOFT,48,84.698
39,SOFT,29,78.937
69,HARD,13,74.116
67,MEDIUM,49,80.114
62,SOFT,1,71.842
25,SOFT,43,82.168
32,SOFT,43,83.009
25,MEDIUM,16,74.914
41,SOFT,29,79.145
51,HARD,44,76.834
19,SOFT,19,75.588
45,MEDIUM,41,78.508
57,MEDIUM,30,76.964
66,MEDIUM,48,80.181
57,HARD,28,74.767
66,SOFT,45,83.412
67,SOFT,42,82.503
54,HARD,3,73.715
60,HARD,4,74.07
30,HARD,31,75.667
31,SOFT,9,73.5
48,MEDIUM,15,75.101
58,SOFT,39,81.732
64,SOFT,35,80.34
6,SOFT,28,78.737
16,SOFT,17,75.781
62,MEDIUM,36,78.374
42,MEDIUM,12,74.704
59,HARD,40,76.271
76,MEDIUM,30,77.402
2,SOFT,26,78.0
23,MEDIUM,12,74.393
67,MEDIUM,38,78.478
61,MEDIUM,3,72.789
13,SOFT,46,82.912
7,HARD,36,75.963
4,HARD,15,73.619
76,HARD,6,73.772
70,SOFT,22,77.127
35,SOFT,21,76.885
6,MEDIUM,48,79.78
59,SOFT,46,84.067
77,HARD,40,76.643
2,MEDIUM,18,74.966
48,SOFT,38,81.434
12,HARD,20,74.788
67,SOFT,10,74.119
35,SOFT,27,77.734
35,SOFT,49,84.396
54,HARD,21,74.311
38,SOFT,35,80.565
24,HARD,14,74.474
58,HARD,15,74.61
69,HARD,3,73.699
61,SOFT,4,73.252
43,SOFT,19,76.071
48,SOFT,20,76.731
24,HARD,23,74.327
51,SOFT,5,72.665
50,SOFT,12,75.031
14,MEDIUM,25,76.031
11,HARD,32,75.272
75,MEDIUM,18,75.644
5,SOFT,44,82.605
54,SOFT,41,81.976
65,MEDIUM,22,76.198
76,HARD,40,77.11
47,MEDIUM,22,75.876
50,MEDIUM,20,75.396
12,SOFT,43,82.908
28,MEDIUM,3,72.739
13,MEDIUM,30,76.687
36,MEDIUM,2,72.464
75,MEDIUM,26,75.982
8,MEDIUM,20,75.414
30,SOFT,40,81.718
46,HARD,16,74.623
7,MEDIUM,43,78.76
73,HARD,23,75.166
37,HARD,20,74.716
20,HARD,8,73.84
49,HARD,12,74.341
11,SOFT,19,76.161
58,MEDIUM,7,73.6
10,MEDIUM,24,75.22
3,HARD,37,75.638
56,SOFT,30,79.057
28,MEDIUM,39,78.558
4,SOFT,26,77.417
64,HARD,18,74.553
46,HARD,11,73.94
64,MEDIUM,5,73.487
